direction	opcode	value	owner_doc	cpp_ref	parser_serializer	handler	status	processing	test_gate	notes
CMSG	CMSG_ALTER_APPEARANCE	0x34F5	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/CharacterHandler.cpp:1685	WorldPackets::Character::AlterApperance parser in wow-packet/character.rs by #NEXT.R8.ENTITIES.907	crates/wow-world/src/handlers/character.rs:handle_alter_appearance	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.907	represented-partial_bounded_barber_chair_gate_and_result
CMSG	CMSG_AREA_SPIRIT_HEALER_QUERY	0x34B0	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:659	WorldPackets::Battleground GUID parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.869	crates/wow-world/src/handlers/character.rs:handle_area_spirit_healer_query	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.869	represented-partial_area_spirit_healer_runtime_gap
CMSG	CMSG_AREA_SPIRIT_HEALER_QUEUE	0x34B1	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:689	WorldPackets::Battleground GUID parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.869	crates/wow-world/src/handlers/character.rs:handle_area_spirit_healer_queue	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.869	represented-partial_area_spirit_healer_runtime_gap
CMSG	CMSG_AREA_TRIGGER	0x31D6	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/MiscHandler.cpp:484	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/misc.rs:handle_area_trigger	LoggedIn	PROCESS_INPLACE	#HANDLERS.TEST.003	-
CMSG	CMSG_ARTIFACT_ADD_POWER	0xBADD	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	missing opcode constant	missing dispatch/handler for Handle_NULL	-	PROCESS_INPLACE	#SERVER.TEST.003	missing_rust_opcode_constant,cpp_unhandled_null
CMSG	CMSG_ARTIFACT_SET_APPEARANCE	0xBADD	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	missing opcode constant	missing dispatch/handler for Handle_NULL	-	PROCESS_INPLACE	#SERVER.TEST.003	missing_rust_opcode_constant,cpp_unhandled_null
CMSG	CMSG_ARENA_TEAM_ACCEPT	0x36B9	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:757	WorldPackets::ArenaTeam::ArenaTeamAccept empty parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.909	crates/wow-world/src/handlers/misc.rs:handle_arena_team_accept	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.909	represented-partial_no_arena_team_mgr_branch
CMSG	CMSG_ARENA_TEAM_DECLINE	0x36BA	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:776	WorldPackets::ArenaTeam empty parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.874	crates/wow-world/src/handlers/misc.rs:handle_arena_team_decline	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.874	represented-complete_arena_team_decline
CMSG	CMSG_ARENA_TEAM_DISBAND	0x36BD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:817	WorldPackets::ArenaTeam::ArenaTeamDisband uint32 TeamId parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.909	crates/wow-world/src/handlers/misc.rs:handle_arena_team_disband	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.909	represented-partial_no_arena_team_mgr_branch
CMSG	CMSG_ARENA_TEAM_LEADER	0x36BE	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:833	WorldPackets::ArenaTeam::ArenaTeamLeader uint32 TeamId plus 9-bit TargetName parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.909	crates/wow-world/src/handlers/misc.rs:handle_arena_team_leader	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.909	represented-partial_no_arena_team_mgr_branch
CMSG	CMSG_ARENA_TEAM_LEAVE	0x36BB	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:781	WorldPackets::ArenaTeam::ArenaTeamLeave empty parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.909	crates/wow-world/src/handlers/misc.rs:handle_arena_team_leave	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.909	represented-partial_no_arena_team_mgr_branch
CMSG	CMSG_ARENA_TEAM_REMOVE	0x36BC	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:798	WorldPackets::ArenaTeam::ArenaTeamRemove uint32 TeamId plus 9-bit TargetName parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.909	crates/wow-world/src/handlers/misc.rs:handle_arena_team_remove	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.909	represented-partial_no_arena_team_mgr_branch
CMSG	CMSG_ARENA_TEAM_ROSTER	0x36B8	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:726	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/misc.rs:handle_arena_team_roster	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	-
CMSG	CMSG_ASSIGN_EQUIPMENT_SET_SPEC	0x3207	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/CharacterHandler.cpp:2024	WorldPackets::EquipmentSet::AssignEquipmentSetSpec uint32 SetID plus uint32 SpecIndex parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.916	crates/wow-world/src/handlers/character.rs:handle_assign_equipment_set_spec	LoggedIn	PROCESS_INPLACE	#NEXT.R8.ENTITIES.916	represented-partial_equipment_set_spec_assignment_state_only
CMSG	CMSG_ATTACK_STOP	0x3256	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/CombatHandler.cpp:63	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/combat.rs:handle_attack_stop	LoggedIn	PROCESS_INPLACE	#HANDLERS.TEST.003	-
CMSG	CMSG_ATTACK_SWING	0x3255	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/CombatHandler.cpp:28	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/combat.rs:handle_attack_swing	LoggedIn	PROCESS_INPLACE	#HANDLERS.TEST.003	-
CMSG	CMSG_AUCTIONABLE_TOKEN_SELL	0x36EE	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:1043	parser/handler represented	crates/wow-packet/src/packets/misc.rs:AuctionableTokenSell; crates/wow-world/src/handlers/misc.rs:handle_auctionable_token_sell	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	#NEXT.R8.ENTITIES.923 represented-complete wotlk_token_unavailable_empty_stub
CMSG	CMSG_AUCTIONABLE_TOKEN_SELL_AT_MARKET_PRICE	0x36EF	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:1049	parser/handler represented	crates/wow-packet/src/packets/misc.rs:AuctionableTokenSellAtMarketPrice; crates/wow-world/src/handlers/misc.rs:handle_auctionable_token_sell_at_market_price	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	#NEXT.R8.ENTITIES.923 represented-complete wotlk_token_unavailable_empty_stub
CMSG	CMSG_AUCTION_BROWSE_QUERY	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:36	missing opcode constant	missing dispatch/handler for HandleAuctionBrowseQuery	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_CANCEL_COMMODITIES_PURCHASE	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:97	missing opcode constant	missing dispatch/handler for HandleAuctionCancelCommoditiesPurchase	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_CONFIRM_COMMODITIES_PURCHASE	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:119	missing opcode constant	missing dispatch/handler for HandleAuctionConfirmCommoditiesPurchase	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_GET_COMMODITY_QUOTE	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:157	missing opcode constant	missing dispatch/handler for HandleAuctionGetCommodityQuote	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_HELLO_REQUEST	0x34CA	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:192	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/character.rs:handle_auction_hello_request	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	-
CMSG	CMSG_AUCTION_LIST_BIDDED_ITEMS	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:208	missing opcode constant	missing dispatch/handler for HandleAuctionListBiddedItems	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_LIST_BUCKETS_BY_BUCKET_KEYS	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:235	missing opcode constant	missing dispatch/handler for HandleAuctionListBucketsByBucketKeys	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_LIST_ITEMS_BY_BUCKET_KEY	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:264	missing opcode constant	missing dispatch/handler for HandleAuctionListItemsByBucketKey	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_LIST_ITEMS_BY_ITEM_ID	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:294	missing opcode constant	missing dispatch/handler for HandleAuctionListItemsByItemID	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_LIST_OWNED_ITEMS	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:325	missing opcode constant	missing dispatch/handler for HandleAuctionListOwnedItems	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_LIST_BIDDER_ITEMS	0x34D0	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:1056	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/misc.rs:handle_auction_list_bidder_items	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	-
CMSG	CMSG_AUCTION_LIST_ITEMS	0x34CD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:1080	parser implemented in wow-packet::packets::misc::AuctionListItems	dispatch/handler implemented in WorldSession::handle_auction_list_items	#NEXT.R8.ENTITIES.948	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	represented_complete_legacy_noop
CMSG	CMSG_AUCTION_LIST_OWNER_ITEMS	0x34CF	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:1086	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/misc.rs:handle_auction_list_owner_items	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	-
CMSG	CMSG_AUCTION_LIST_PENDING_SALES	0x34D2	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:1110	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/misc.rs:handle_auction_list_pending_sales	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	-
CMSG	CMSG_AUCTION_PLACE_BID	0x34D1	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:352	parser implemented in wow-packet::packets::misc::AuctionPlaceBid	dispatch/handler implemented in WorldSession::handle_auction_place_bid	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.950	represented_partial_auction_place_bid_gate_without_auction_runtime
CMSG	CMSG_AUCTION_REMOVE_ITEM	0x34CC	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:486	parser implemented in wow-packet::packets::misc::AuctionRemoveItem	dispatch/handler implemented in WorldSession::handle_auction_remove_item	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.951	represented_partial_auction_remove_gate_without_auction_runtime
CMSG	CMSG_AUCTION_REPLICATE_ITEMS	0x34CE	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:552	parser implemented in wow-packet::packets::misc::AuctionReplicateItems	dispatch/handler implemented in WorldSession::handle_auction_replicate_items	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.949	represented_partial_auction_replicate_gate_without_auction_runtime
CMSG	CMSG_AUCTION_REQUEST_FAVORITE_LIST	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:577	missing opcode constant	missing dispatch/handler for HandleAuctionRequestFavoriteList	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_SELL_COMMODITY	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:606	missing opcode constant	missing dispatch/handler for HandleAuctionSellCommodity	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUCTION_SELL_ITEM	0x34CB	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:818	parser implemented in wow-packet::packets::misc::AuctionSellItem	dispatch/handler implemented in WorldSession::handle_auction_sell_item	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.952	represented_partial_auction_sell_gate_without_auction_runtime
CMSG	CMSG_AUCTION_SET_FAVORITE_ITEM	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AuctionHouseHandler.cpp:966	missing opcode constant	missing dispatch/handler for HandleAuctionSetFavoriteItem	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUTH_CONTINUED_SESSION	0x3766	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:808	parser required in wow-packet/wow-world	missing dispatch/handler for Handle_EarlyProccess	-	PROCESS_INPLACE	#SERVER.TEST.003	missing_rust_dispatch,cpp_early_process
CMSG	CMSG_AUTH_SESSION	0x3765	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:808	parser required in wow-packet/wow-world	missing dispatch/handler for Handle_EarlyProccess	-	PROCESS_INPLACE	#SERVER.TEST.003	missing_rust_dispatch,cpp_early_process
CMSG	CMSG_AUTOBANK_ITEM	0x3997	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BankHandler.cpp:27	parser implemented in wow-packet::packets::misc::AutoBankItem	dispatch/handler implemented in WorldSession::handle_autobank_item	#NEXT.R8.ENTITIES.947	PROCESS_INPLACE	#HANDLERS.TEST.003	represented_partial_bank_item_move_gate_without_real_inventory_mutation
CMSG	CMSG_AUTOBANK_REAGENT	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BankHandler.cpp:218	missing opcode constant	missing dispatch/handler for HandleAutoBankReagentOpcode	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUTOSTORE_BANK_ITEM	0x3996	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BankHandler.cpp:78	parser implemented in wow-packet::packets::misc::AutoStoreBankItem	dispatch/handler implemented in WorldSession::handle_autostore_bank_item	#NEXT.R8.ENTITIES.947	PROCESS_INPLACE	#HANDLERS.TEST.003	represented_partial_bank_item_move_gate_without_real_inventory_mutation
CMSG	CMSG_AUTOSTORE_BANK_REAGENT	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BankHandler.cpp:254	missing opcode constant	missing dispatch/handler for HandleAutoStoreBankReagentOpcode	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_AUTO_EQUIP_ITEM	0x3998	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/ItemHandler.cpp:175	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/character.rs:handle_auto_equip_item	LoggedIn	PROCESS_INPLACE	#HANDLERS.TEST.003	-
CMSG	CMSG_AUTO_EQUIP_ITEM_SLOT	0x399D	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/ItemHandler.cpp:114	crates/wow-packet/src/packets/item.rs AutoEquipItemSlot parser	crates/wow-world/src/handlers/character.rs handle_auto_equip_item_slot; crates/wow-world/src/session.rs dispatch	STATUS_LOGGEDIN	Inplace	#NEXT.R8.ENTITIES.920 represented-partial auto_equip_item_slot_direct_inventory_only	-
CMSG	CMSG_AUTO_GUILD_BANK_ITEM	0x34B6	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/GuildHandler.cpp:294	parser required in wow-packet/wow-world	missing dispatch/handler for HandleAutoGuildBankItem	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_dispatch
CMSG	CMSG_AUTO_STORE_BAG_ITEM	0x3999	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/ItemHandler.cpp:699	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/character.rs:handle_auto_store_bag_item	LoggedIn	PROCESS_INPLACE	#HANDLERS.TEST.003	-
CMSG	CMSG_AUTO_STORE_GUILD_BANK_ITEM	0x34BF	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/GuildHandler.cpp:431	parser required in wow-packet/wow-world	missing dispatch/handler for HandleAutoStoreGuildBankItem	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_dispatch
CMSG	CMSG_AZERITE_EMPOWERED_ITEM_SELECT_POWER	0x32F2	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	parser required in wow-packet/wow-world	missing dispatch/handler for Handle_NULL	-	PROCESS_INPLACE	#SERVER.TEST.003	missing_rust_dispatch,cpp_unhandled_null
CMSG	CMSG_AZERITE_EMPOWERED_ITEM_VIEWED	0x32E0	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	parser required in wow-packet/wow-world	missing dispatch/handler for Handle_NULL	-	PROCESS_INPLACE	#SERVER.TEST.003	missing_rust_dispatch,cpp_unhandled_null
CMSG	CMSG_AZERITE_ESSENCE_ACTIVATE_ESSENCE	0x32F4	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	parser required in wow-packet/wow-world	missing dispatch/handler for Handle_NULL	-	PROCESS_INPLACE	#SERVER.TEST.003	missing_rust_dispatch,cpp_unhandled_null
CMSG	CMSG_AZERITE_ESSENCE_UNLOCK_MILESTONE	0x32F3	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	parser required in wow-packet/wow-world	missing dispatch/handler for Handle_NULL	-	PROCESS_INPLACE	#SERVER.TEST.003	missing_rust_dispatch,cpp_unhandled_null
CMSG	CMSG_BANKER_ACTIVATE	0x34B3	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BankHandler.cpp:60	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/character.rs:handle_banker_activate	LoggedIn	PROCESS_INPLACE	#HANDLERS.TEST.003	-
