doc	declared	rust_target	kind	rust_files	rust_lines	status	notes
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-achievement/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-world/src/handlers/character.rs	file	1	4612	exists_active	file exists
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-world/src/handlers/misc.rs	file	1	661	exists_active	file exists
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-constants/src/opcodes.rs	file	1	1642	exists_active	file exists
ai-base.md	`crates/wow-ai/`	crates/wow-ai	crate_dir	1	346	exists_active	crate exists
ai-base.md	`crates/wow-ai/`	crates/wow-ai/src/lib.rs	file	1	346	exists_active	file exists
ai-base.md	`crates/wow-ai/`	crates/wow-ai/Cargo.toml	file	1	11	exists_manifest	manifest exists; not counted as active Rust source
ai-base.md	`crates/wow-ai/`	crates/wow-script/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
ai-base.md	`crates/wow-ai/`	crates/wow-world/src/session.rs	file	1	3138	exists_active	file exists
ai-base.md	`crates/wow-ai/`	crates/wow-world/src/map_manager.rs	file	1	784	exists_active	file exists
ai-smartscripts.md	`crates/wow-script/` (engine), consumes traits from `crates/wow-ai/`	crates/wow-script	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
ai-smartscripts.md	`crates/wow-script/` (engine), consumes traits from `crates/wow-ai/`	crates/wow-ai	crate_dir	1	346	exists_active	crate exists
ai-smartscripts.md	`crates/wow-script/` (engine), consumes traits from `crates/wow-ai/`	crates/wow-script/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
ai-smartscripts.md	`crates/wow-script/` (engine), consumes traits from `crates/wow-ai/`	crates/wow-script/Cargo.toml	file	1	11	exists_manifest	manifest exists; not counted as active Rust source
ai-smartscripts.md	`crates/wow-script/` (engine), consumes traits from `crates/wow-ai/`	crates/wow-ai/src/lib.rs	file	1	346	exists_active	file exists
ai-smartscripts.md	`crates/wow-script/` (engine), consumes traits from `crates/wow-ai/`	crates/wow-database/src/statements/world.rs	file	1	371	exists_active	file exists
ai-smartscripts.md	`crates/wow-script/` (engine), consumes traits from `crates/wow-ai/`	crates/wow-conditions	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
ai.md	`crates/wow-ai/`, `crates/wow-script/`, `crates/wow-scripts/`	crates/wow-ai	crate_dir	1	346	exists_active	crate exists
ai.md	`crates/wow-ai/`, `crates/wow-script/`, `crates/wow-scripts/`	crates/wow-script	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
ai.md	`crates/wow-ai/`, `crates/wow-script/`, `crates/wow-scripts/`	crates/wow-scripts	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
ai.md	`crates/wow-ai/`, `crates/wow-script/`, `crates/wow-scripts/`	crates/wow-ai/src/lib.rs	file	1	346	exists_active	file exists
ai.md	`crates/wow-ai/`, `crates/wow-script/`, `crates/wow-scripts/`	crates/wow-script/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
ai.md	`crates/wow-ai/`, `crates/wow-script/`, `crates/wow-scripts/`	crates/wow-scripts/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
ai.md	`crates/wow-ai/`, `crates/wow-script/`, `crates/wow-scripts/`	crates/wow-world/src/session.rs	file	1	3138	exists_active	file exists
ai.md	`crates/wow-ai/`, `crates/wow-script/`, `crates/wow-scripts/`	crates/wow-world/src/handlers/misc.rs	file	1	661	exists_active	file exists
auctionhouse.md	`crates/wow-world/` (handlers + AuctionHouseMgr global), `crates/wow-database/` (prepared statements), `crates/wow-packet/` (auction packet types)	crates/wow-world	crate_dir	17	12778	exists_active	crate exists
auctionhouse.md	`crates/wow-world/` (handlers + AuctionHouseMgr global), `crates/wow-database/` (prepared statements), `crates/wow-packet/` (auction packet types)	crates/wow-database	crate_dir	12	2262	exists_active	crate exists
auctionhouse.md	`crates/wow-world/` (handlers + AuctionHouseMgr global), `crates/wow-database/` (prepared statements), `crates/wow-packet/` (auction packet types)	crates/wow-packet	crate_dir	25	13058	exists_active	crate exists
auctionhouse.md	`crates/wow-world/` (handlers + AuctionHouseMgr global), `crates/wow-database/` (prepared statements), `crates/wow-packet/` (auction packet types)	crates/wow-packet/src/packets/misc.rs	file	1	2613	exists_active	file exists
auctionhouse.md	`crates/wow-world/` (handlers + AuctionHouseMgr global), `crates/wow-database/` (prepared statements), `crates/wow-packet/` (auction packet types)	crates/wow-world/src/handlers/misc.rs	file	1	661	exists_active	file exists
auctionhouse.md	`crates/wow-world/` (handlers + AuctionHouseMgr global), `crates/wow-database/` (prepared statements), `crates/wow-packet/` (auction packet types)	crates/wow-constants/src/opcodes.rs	file	1	1642	exists_active	file exists
auctionhousebot.md	*none yet* — would live under `crates/wow-world/src/auctionhousebot/` (alongside the future auction crate) or a new `wow-ahbot` crate. Depends on a working `AuctionHouseMgr` (see `auctionhouse.md`), which is also not yet ported.	crates/wow-world/src/auctionhousebot	path	0	0	missing_declared_path	declared/proposed target does not exist
auctionhousebot.md	*none yet* — would live under `crates/wow-world/src/auctionhousebot/` (alongside the future auction crate) or a new `wow-ahbot` crate. Depends on a working `AuctionHouseMgr` (see `auctionhouse.md`), which is also not yet ported.	crates/wow-ahbot	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
auctionhousebot.md	*none yet* — would live under `crates/wow-world/src/auctionhousebot/` (alongside the future auction crate) or a new `wow-ahbot` crate. Depends on a working `AuctionHouseMgr` (see `auctionhouse.md`), which is also not yet ported.	crates/wow-world	crate_dir	17	12778	exists_active	crate exists
auctionhousebot.md	*none yet* — would live under `crates/wow-world/src/auctionhousebot/` (alongside the future auction crate) or a new `wow-ahbot` crate. Depends on a working `AuctionHouseMgr` (see `auctionhouse.md`), which is also not yet ported.	crates/wow-config	crate_dir	1	397	exists_active	crate exists
battlefield.md	`crates/wow-battlefield/` (NOT YET CREATED — must be added to workspace)	crates/wow-battlefield	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
battlefield.md	`crates/wow-battlefield/` (NOT YET CREATED — must be added to workspace)	crates/wow-world/src/handlers	module_dir	14	8843	exists_active	directory exists
battlefield.md	`crates/wow-battlefield/` (NOT YET CREATED — must be added to workspace)	crates/wow-areatrigger	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
battlefield.md	`crates/wow-battlefield/` (NOT YET CREATED — must be added to workspace)	crates/wow-gameobject	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
battlegrounds.md	`crates/wow-pvp/` (currently empty scaffold — `Cargo.toml` only, no `lib.rs` content)	crates/wow-pvp	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
battlegrounds.md	`crates/wow-pvp/` (currently empty scaffold — `Cargo.toml` only, no `lib.rs` content)	crates/wow-pvp/Cargo.toml	file	1	10	exists_manifest	manifest exists; not counted as active Rust source
battlegrounds.md	`crates/wow-pvp/` (currently empty scaffold — `Cargo.toml` only, no `lib.rs` content)	crates/wow-core	crate_dir	4	1153	exists_active	crate exists
battlegrounds.md	`crates/wow-pvp/` (currently empty scaffold — `Cargo.toml` only, no `lib.rs` content)	crates/wow-constants	crate_dir	10	5477	exists_active	crate exists
battlegrounds.md	`crates/wow-pvp/` (currently empty scaffold — `Cargo.toml` only, no `lib.rs` content)	crates/wow-pvp/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
battlegrounds.md	`crates/wow-pvp/` (currently empty scaffold — `Cargo.toml` only, no `lib.rs` content)	crates/wow-world/src/handlers	module_dir	14	8843	exists_active	directory exists
battlegrounds.md	`crates/wow-pvp/` (currently empty scaffold — `Cargo.toml` only, no `lib.rs` content)	crates/wow-maps	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
battlepets.md	No target crate intended for 3.4.3 client. Today only one packet stub exists: `crates/wow-packet/src/packets/misc.rs:1005` defines `BattlePetJournalLockAcquired` (zero-byte ServerPacket), used by `crates/wow-world/src/handlers/character.rs:4255` during the post-login packet pipeline (defensive ack so a 3.4.3 client that hasn't been told the journal is unavailable doesn't sit waiting). The single CMSG handler stub is `handle_battle_pet_request_journal` at `crates/wow-world/src/handlers/misc.rs:606` (empty body, registered at `:266`).	crates/wow-packet/src/packets/misc.rs	file	1	2613	exists_active	file exists
battlepets.md	No target crate intended for 3.4.3 client. Today only one packet stub exists: `crates/wow-packet/src/packets/misc.rs:1005` defines `BattlePetJournalLockAcquired` (zero-byte ServerPacket), used by `crates/wow-world/src/handlers/character.rs:4255` during the post-login packet pipeline (defensive ack so a 3.4.3 client that hasn't been told the journal is unavailable doesn't sit waiting). The single CMSG handler stub is `handle_battle_pet_request_journal` at `crates/wow-world/src/handlers/misc.rs:606` (empty body, registered at `:266`).	crates/wow-world/src/handlers/character.rs	file	1	4612	exists_active	file exists
battlepets.md	No target crate intended for 3.4.3 client. Today only one packet stub exists: `crates/wow-packet/src/packets/misc.rs:1005` defines `BattlePetJournalLockAcquired` (zero-byte ServerPacket), used by `crates/wow-world/src/handlers/character.rs:4255` during the post-login packet pipeline (defensive ack so a 3.4.3 client that hasn't been told the journal is unavailable doesn't sit waiting). The single CMSG handler stub is `handle_battle_pet_request_journal` at `crates/wow-world/src/handlers/misc.rs:606` (empty body, registered at `:266`).	crates/wow-world/src/handlers/misc.rs	file	1	661	exists_active	file exists
battlepets.md	No target crate intended for 3.4.3 client. Today only one packet stub exists: `crates/wow-packet/src/packets/misc.rs:1005` defines `BattlePetJournalLockAcquired` (zero-byte ServerPacket), used by `crates/wow-world/src/handlers/character.rs:4255` during the post-login packet pipeline (defensive ack so a 3.4.3 client that hasn't been told the journal is unavailable doesn't sit waiting). The single CMSG handler stub is `handle_battle_pet_request_journal` at `crates/wow-world/src/handlers/misc.rs:606` (empty body, registered at `:266`).	crates/wow-constants/src/opcodes.rs	file	1	1642	exists_active	file exists
battlepets.md	No target crate intended for 3.4.3 client. Today only one packet stub exists: `crates/wow-packet/src/packets/misc.rs:1005` defines `BattlePetJournalLockAcquired` (zero-byte ServerPacket), used by `crates/wow-world/src/handlers/character.rs:4255` during the post-login packet pipeline (defensive ack so a 3.4.3 client that hasn't been told the journal is unavailable doesn't sit waiting). The single CMSG handler stub is `handle_battle_pet_request_journal` at `crates/wow-world/src/handlers/misc.rs:606` (empty body, registered at `:266`).	crates/wow-world/src/session.rs	file	1	3138	exists_active	file exists
blackmarket.md	*none yet* — would live as `crates/wow-world/src/blackmarket/` or new `wow-blackmarket` crate. Depends on Mail (`wow-world` mail handlers), `wow-database` (4 prepared statements + 2 tables), `wow-packet` (4 SMSG + 2 CMSG opcodes already enumerated).	crates/wow-world/src/blackmarket	path	0	0	missing_declared_path	declared/proposed target does not exist
blackmarket.md	*none yet* — would live as `crates/wow-world/src/blackmarket/` or new `wow-blackmarket` crate. Depends on Mail (`wow-world` mail handlers), `wow-database` (4 prepared statements + 2 tables), `wow-packet` (4 SMSG + 2 CMSG opcodes already enumerated).	crates/wow-blackmarket	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
blackmarket.md	*none yet* — would live as `crates/wow-world/src/blackmarket/` or new `wow-blackmarket` crate. Depends on Mail (`wow-world` mail handlers), `wow-database` (4 prepared statements + 2 tables), `wow-packet` (4 SMSG + 2 CMSG opcodes already enumerated).	crates/wow-world	crate_dir	17	12778	exists_active	crate exists
blackmarket.md	*none yet* — would live as `crates/wow-world/src/blackmarket/` or new `wow-blackmarket` crate. Depends on Mail (`wow-world` mail handlers), `wow-database` (4 prepared statements + 2 tables), `wow-packet` (4 SMSG + 2 CMSG opcodes already enumerated).	crates/wow-database	crate_dir	12	2262	exists_active	crate exists
blackmarket.md	*none yet* — would live as `crates/wow-world/src/blackmarket/` or new `wow-blackmarket` crate. Depends on Mail (`wow-world` mail handlers), `wow-database` (4 prepared statements + 2 tables), `wow-packet` (4 SMSG + 2 CMSG opcodes already enumerated).	crates/wow-packet	crate_dir	25	13058	exists_active	crate exists
blackmarket.md	*none yet* — would live as `crates/wow-world/src/blackmarket/` or new `wow-blackmarket` crate. Depends on Mail (`wow-world` mail handlers), `wow-database` (4 prepared statements + 2 tables), `wow-packet` (4 SMSG + 2 CMSG opcodes already enumerated).	crates/wow-constants/src/opcodes.rs	file	1	1642	exists_active	file exists
blackmarket.md	*none yet* — would live as `crates/wow-world/src/blackmarket/` or new `wow-blackmarket` crate. Depends on Mail (`wow-world` mail handlers), `wow-database` (4 prepared statements + 2 tables), `wow-packet` (4 SMSG + 2 CMSG opcodes already enumerated).	crates/wow-constants/src/item.rs	file	1	1239	exists_active	file exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server	crate_dir	13	2831	exists_active	crate exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/main.rs	file	1	245	exists_active	file exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/state.rs	file	1	112	exists_active	file exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/rest/mod.rs	file	1	198	exists_active	file exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/rest/handlers.rs	file	1	573	exists_active	file exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/rest/types.rs	file	1	86	exists_active	file exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/rpc/mod.rs	file	1	42	exists_active	file exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/rpc/session.rs	file	1	263	exists_active	file exists
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/rpc/services/{account,authentication,connection,game_utilities}.rs	declared_pattern	0	0	declared_pattern	pattern/proposed path; not resolvable as one file or directory
bnetserver.md	`crates/bnet-server/`	crates/bnet-server/src/realm/mod.rs	file	1	392	exists_active	file exists
cache.md	`crates/wow-database/` (or a thin `crates/wow-cache/`); consumers in `wow-world` and `wow-social`	crates/wow-database	crate_dir	12	2262	exists_active	crate exists
cache.md	`crates/wow-database/` (or a thin `crates/wow-cache/`); consumers in `wow-world` and `wow-social`	crates/wow-cache	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
cache.md	`crates/wow-database/` (or a thin `crates/wow-cache/`); consumers in `wow-world` and `wow-social`	crates/wow-world	crate_dir	17	12778	exists_active	crate exists
cache.md	`crates/wow-database/` (or a thin `crates/wow-cache/`); consumers in `wow-world` and `wow-social`	crates/wow-social	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
calendar.md	`crates/wow-world/` (handlers, CalendarMgr global), `crates/wow-database/` (calendar prepared statements), `crates/wow-packet/` (CalendarPackets), `crates/wow-core/` (calendar enums)	crates/wow-world	crate_dir	17	12778	exists_active	crate exists
calendar.md	`crates/wow-world/` (handlers, CalendarMgr global), `crates/wow-database/` (calendar prepared statements), `crates/wow-packet/` (CalendarPackets), `crates/wow-core/` (calendar enums)	crates/wow-database	crate_dir	12	2262	exists_active	crate exists
calendar.md	`crates/wow-world/` (handlers, CalendarMgr global), `crates/wow-database/` (calendar prepared statements), `crates/wow-packet/` (CalendarPackets), `crates/wow-core/` (calendar enums)	crates/wow-packet	crate_dir	25	13058	exists_active	crate exists
calendar.md	`crates/wow-world/` (handlers, CalendarMgr global), `crates/wow-database/` (calendar prepared statements), `crates/wow-packet/` (CalendarPackets), `crates/wow-core/` (calendar enums)	crates/wow-core	crate_dir	4	1153	exists_active	crate exists
calendar.md	`crates/wow-world/` (handlers, CalendarMgr global), `crates/wow-database/` (calendar prepared statements), `crates/wow-packet/` (CalendarPackets), `crates/wow-core/` (calendar enums)	crates/wow-world/src/handlers/misc.rs	file	1	661	exists_active	file exists
calendar.md	`crates/wow-world/` (handlers, CalendarMgr global), `crates/wow-database/` (calendar prepared statements), `crates/wow-packet/` (CalendarPackets), `crates/wow-core/` (calendar enums)	crates/wow-world/src/session.rs	file	1	3138	exists_active	file exists
chat.md	`crates/wow-chat/` (empty placeholder), `crates/wow-world/src/handlers/chat.rs`, `crates/wow-packet/src/packets/chat.rs`	crates/wow-chat	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
chat.md	`crates/wow-chat/` (empty placeholder), `crates/wow-world/src/handlers/chat.rs`, `crates/wow-packet/src/packets/chat.rs`	crates/wow-world/src/handlers/chat.rs	file	1	413	exists_active	file exists
chat.md	`crates/wow-chat/` (empty placeholder), `crates/wow-world/src/handlers/chat.rs`, `crates/wow-packet/src/packets/chat.rs`	crates/wow-packet/src/packets/chat.rs	file	1	351	exists_active	file exists
chat.md	`crates/wow-chat/` (empty placeholder), `crates/wow-world/src/handlers/chat.rs`, `crates/wow-packet/src/packets/chat.rs`	crates/wow-chat/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
chat.md	`crates/wow-chat/` (empty placeholder), `crates/wow-world/src/handlers/chat.rs`, `crates/wow-packet/src/packets/chat.rs`	crates/wow-packet	crate_dir	25	13058	exists_active	crate exists
chat.md	`crates/wow-chat/` (empty placeholder), `crates/wow-world/src/handlers/chat.rs`, `crates/wow-packet/src/packets/chat.rs`	crates/wow-world	crate_dir	17	12778	exists_active	crate exists
combat-manager.md	`crates/wow-combat/` (empty — see §13)	crates/wow-combat	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
combat-manager.md	`crates/wow-combat/` (empty — see §13)	crates/wow-combat/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
combat-manager.md	`crates/wow-combat/` (empty — see §13)	crates/wow-world/src/session.rs	file	1	3138	exists_active	file exists
combat-manager.md	`crates/wow-combat/` (empty — see §13)	crates/wow-ai/src/lib.rs	file	1	346	exists_active	file exists
combat-manager.md	`crates/wow-combat/` (empty — see §13)	crates/wow-world/src/handlers/combat.rs	file	1	152	exists_active	file exists
combat-manager.md	`crates/wow-combat/` (empty — see §13)	crates/wow-ai	crate_dir	1	346	exists_active	crate exists
combat-manager.md	`crates/wow-combat/` (empty — see §13)	crates/wow-packet	crate_dir	25	13058	exists_active	crate exists
combat-threat.md	`crates/wow-combat/` (empty — see §13)	crates/wow-combat	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
combat-threat.md	`crates/wow-combat/` (empty — see §13)	crates/wow-combat/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
combat-threat.md	`crates/wow-combat/` (empty — see §13)	crates/wow-ai/src/lib.rs	file	1	346	exists_active	file exists
combat-threat.md	`crates/wow-combat/` (empty — see §13)	crates/wow-world/src/handlers/combat.rs	file	1	152	exists_active	file exists
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/wow-script	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/wow-scripts	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/wow-script/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/wow-scripts/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/wow-handler/src/lib.rs	file	1	116	exists_active	file exists
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/wow-chat/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/wow-world/src/handlers/chat.rs	file	1	413	exists_active	file exists
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/world-server/src/main.rs	file	1	818	exists_active	file exists
commands.md	*(none yet — `wow-script` and `wow-scripts` are empty placeholders; world-server has no CLI thread; bnet-server has no SOAP)*	crates/bnet-server/src	module_dir	13	2831	exists_active	directory exists
common-collision.md	`crates/wow-recastdetour/` (currently empty FFI scaffold), prospective new `crates/wow-collision/`	crates/wow-recastdetour	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
common-collision.md	`crates/wow-recastdetour/` (currently empty FFI scaffold), prospective new `crates/wow-collision/`	crates/wow-collision	crate_dir	0	0	missing_declared_path	declared/proposed target does not exist
common-collision.md	`crates/wow-recastdetour/` (currently empty FFI scaffold), prospective new `crates/wow-collision/`	crates/wow-recastdetour/src/lib.rs	file	1	0	exists_empty	file exists but has 0 lines
common-collision.md	`crates/wow-recastdetour/` (currently empty FFI scaffold), prospective new `crates/wow-collision/`	crates/wow-map/src/lib.rs	file	1	70	exists_active	file exists
common-collision.md	`crates/wow-recastdetour/` (currently empty FFI scaffold), prospective new `crates/wow-collision/`	crates/wow-spell	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
common-collision.md	`crates/wow-recastdetour/` (currently empty FFI scaffold), prospective new `crates/wow-collision/`	crates/wow-combat	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
common-collision.md	`crates/wow-recastdetour/` (currently empty FFI scaffold), prospective new `crates/wow-collision/`	crates/wow-ai	crate_dir	1	346	exists_active	crate exists
conditions.md	`crates/wow-data/` (load `conditions` table, store `ConditionContainer` keyed by `(SourceType, SourceGroup, SourceEntry)`), `crates/wow-world/src/conditions/` (the `Meets` evaluator with access to `Player`/`Unit`/`Map`), no dedicated crate yet.	crates/wow-data	crate_dir	11	3505	exists_active	crate exists
conditions.md	`crates/wow-data/` (load `conditions` table, store `ConditionContainer` keyed by `(SourceType, SourceGroup, SourceEntry)`), `crates/wow-world/src/conditions/` (the `Meets` evaluator with access to `Player`/`Unit`/`Map`), no dedicated crate yet.	crates/wow-world/src/conditions	path	0	0	missing_declared_path	declared/proposed target does not exist
conditions.md	`crates/wow-data/` (load `conditions` table, store `ConditionContainer` keyed by `(SourceType, SourceGroup, SourceEntry)`), `crates/wow-world/src/conditions/` (the `Meets` evaluator with access to `Player`/`Unit`/`Map`), no dedicated crate yet.	crates/wow-logging	crate_dir	1	464	exists_active	crate exists
conditions.md	`crates/wow-data/` (load `conditions` table, store `ConditionContainer` keyed by `(SourceType, SourceGroup, SourceEntry)`), `crates/wow-world/src/conditions/` (the `Meets` evaluator with access to `Player`/`Unit`/`Map`), no dedicated crate yet.	crates/wow-logging/src/lib.rs	file	1	464	exists_active	file exists
conditions.md	`crates/wow-data/` (load `conditions` table, store `ConditionContainer` keyed by `(SourceType, SourceGroup, SourceEntry)`), `crates/wow-world/src/conditions/` (the `Meets` evaluator with access to `Player`/`Unit`/`Map`), no dedicated crate yet.	crates/wow-packet/src/packets/character.rs	file	1	550	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database	crate_dir	12	2262	exists_active	crate exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/lib.rs	file	1	58	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/database.rs	file	1	178	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/error.rs	file	1	21	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/params.rs	file	1	208	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/result.rs	file	1	198	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/transaction.rs	file	1	108	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/updater.rs	file	1	391	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/statements/mod.rs	file	1	93	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/statements/login.rs	file	1	327	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/statements/character.rs	file	1	284	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/statements/world.rs	file	1	371	exists_active	file exists
database-framework.md	`crates/wow-database/`	crates/wow-database/src/statements/hotfix.rs	file	1	25	exists_active	file exists
